iter	Passed	Remaining
0	3	375
1	8	394
2	12	397
3	15	381
4	19	369
5	24	389
6	31	412
7	34	401
8	40	414
9	44	402
10	48	393
11	52	386
12	56	378
13	62	384
14	65	373
15	73	386
16	76	373
17	78	359
18	80	344
19	84	336
20	86	324
21	88	312
22	89	301
23	91	290
24	93	279
25	95	271
26	97	263
27	99	255
28	101	248
29	103	240
30	104	233
31	106	226
32	108	219
33	110	213
34	112	208
35	115	204
36	116	199
37	118	193
38	120	188
39	122	183
40	123	178
41	125	173
42	128	170
43	129	165
44	131	160
45	133	156
46	134	152
47	136	148
48	138	144
49	140	140
50	143	137
51	145	133
52	146	130
53	148	126
54	150	122
55	152	119
56	153	115
57	155	112
58	159	110
59	160	107
60	162	104
61	164	101
62	166	97
63	168	94
64	169	91
65	173	89
66	175	86
67	176	83
68	178	80
69	180	77
70	181	74
71	183	71
72	184	68
73	186	65
74	188	62
75	190	60
76	191	57
77	193	54
78	194	51
79	196	49
80	197	46
81	199	43
82	201	41
83	202	38
84	204	36
85	206	33
86	207	31
87	209	28
88	210	26
89	212	23
90	213	21
91	215	18
92	217	16
93	219	14
94	220	11
95	222	9
96	223	6
97	225	4
98	227	2
99	228	0
